flight_number,airline,flight_date,direction,scheduled_time_local,scheduled_time_utc,actual_time_local,actual_time_utc,status,is_cancelled,origin_icao,origin_iata,destination_icao,destination_iata,aircraft_model,aircraft_reg,relevant_timestamp,actual_temp_c,actual_wind_speed_kmh,actual_wind_gusts_kmh,actual_precipitation_mm,actual_snowfall_cm,actual_visibility_m,actual_cloud_cover_pct,actual_weather_code,forecast_temp_c,forecast_wind_speed_kmh,forecast_wind_gusts_kmh,forecast_precipitation_mm,forecast_snowfall_cm,forecast_visibility_m,forecast_cloud_cover_pct,forecast_weather_code,forecast_error_visibility_m,forecast_error_wind_kmh,forecast_error_snowfall_cm
AS 2036,Alaska,2025-09-28,Arrival,2025-09-28 16:34-07:00,2025-09-28 23:34Z,2025-09-28 16:17-07:00,2025-09-28 23:17Z,Expected,False,KBOI,BOI,KPUW,PUW,Embraer 175,N657QX,2025-09-28T17:00:00,23.9,6.0,18.7,0.0,0.0,,92,3,24.3,6.9,9.0,0.0,0.0,79000.0,0,0,,-0.9000000000000004,0.0
AS 2438,Alaska,2025-09-28,Arrival,2025-09-28 19:00-07:00,2025-09-29 02:00Z,2025-09-28 18:42-07:00,2025-09-29 01:42Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N654QX,2025-09-28T19:00:00,20.9,1.8,3.6,0.0,0.0,,69,2,18.8,2.1,3.2,0.0,0.0,70400.0,0,0,,-0.30000000000000004,0.0
AS 2364,Alaska,2025-09-28,Arrival,2025-09-28 23:55-07:00,2025-09-29 06:55Z,2025-09-28 23:55-07:00,2025-09-29 06:55Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N623QX,2025-09-29T00:00:00,16.5,4.6,9.0,0.0,0.0,,25,1,12.7,7.5,7.9,0.0,0.0,47900.0,0,0,,-2.9000000000000004,0.0
AS 2067,Alaska,2025-09-29,Departure,2025-09-29 06:00-07:00,2025-09-29 13:00Z,2025-09-29 06:00-07:00,2025-09-29 13:00Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N623QX,2025-09-29T06:00:00,13.4,4.9,10.1,0.0,0.0,,100,3,11.6,7.7,7.9,0.0,0.0,42200.0,3,0,,-2.8,0.0
AS 2132,Alaska,2025-09-29,Departure,2025-09-29 13:38-07:00,2025-09-29 20:38Z,2025-09-29 13:56-07:00,2025-09-29 20:56Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N653QX,2025-09-29T14:00:00,22.0,2.8,17.3,0.0,0.0,,100,3,22.7,17.6,19.8,0.0,0.0,51800.0,98,3,,-14.8,0.0
AS 2439,Alaska,2025-09-29,Departure,2025-09-29 19:37-07:00,2025-09-30 02:37Z,2025-09-29 19:49-07:00,2025-09-30 02:49Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N634QX,2025-09-29T20:00:00,18.6,4.8,8.6,0.0,0.0,,100,3,17.8,15.1,21.6,0.0,0.0,35800.0,99,3,,-10.3,0.0
QX 2364,Horizon Air,2025-09-29,Arrival,2025-09-28 23:55-07:00,2025-09-29 06:55Z,2025-09-29 00:00-07:00,2025-09-29 07:00Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N623QX,2025-09-29T00:00:00,16.5,4.6,9.0,0.0,0.0,,25,1,12.7,7.5,7.9,0.0,0.0,47900.0,0,0,,-2.9000000000000004,0.0
AS 2364,Alaska,2025-09-29,Arrival,2025-09-29 00:19-07:00,2025-09-29 07:19Z,2025-09-29 00:00-07:00,2025-09-29 07:00Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N623QX,2025-09-29T00:00:00,16.5,4.6,9.0,0.0,0.0,,25,1,12.7,7.5,7.9,0.0,0.0,47900.0,0,0,,-2.9000000000000004,0.0
AS 2152,Alaska,2025-09-29,Arrival,2025-09-29 12:58-07:00,2025-09-29 19:58Z,2025-09-29 12:53-07:00,2025-09-29 19:53Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N653QX,2025-09-29T13:00:00,22.3,5.9,17.6,0.0,0.0,,100,3,23.4,11.3,14.0,0.0,0.0,61100.0,7,0,,-5.4,0.0
AS 2438,Alaska,2025-09-29,Arrival,2025-09-29 19:00-07:00,2025-09-30 02:00Z,2025-09-29 18:59-07:00,2025-09-30 01:59Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N634QX,2025-09-29T19:00:00,19.6,2.1,9.0,0.0,0.0,,100,3,18.1,7.9,15.1,0.0,0.0,38600.0,99,3,,-5.800000000000001,0.0
AS 2067,Alaska,2025-09-30,Departure,2025-09-30 06:00-07:00,2025-09-30 13:00Z,2025-09-30 05:58-07:00,2025-09-30 12:58Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N648QX,2025-09-30T06:00:00,11.5,5.4,16.2,0.1,0.0,,100,51,11.2,1.8,18.4,0.0,0.0,16900.0,100,3,,3.6000000000000005,0.0
AS 2132,Alaska,2025-09-30,Departure,2025-09-30 13:38-07:00,2025-09-30 20:38Z,2025-09-30 13:47-07:00,2025-09-30 20:47Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N667QX,2025-09-30T14:00:00,18.9,5.9,19.4,0.1,0.0,,37,51,17.8,13.6,17.3,0.0,0.0,30500.0,100,3,,-7.699999999999999,0.0
AS 2439,Alaska,2025-09-30,Departure,2025-09-30 19:37-07:00,2025-10-01 02:37Z,2025-09-30 19:47-07:00,2025-10-01 02:47Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N648QX,2025-09-30T20:00:00,13.2,12.7,30.2,0.1,0.0,,100,51,13.8,14.3,23.8,0.0,0.0,22000.0,99,3,,-1.6000000000000014,0.0
AS 2364,Alaska,2025-09-30,Arrival,2025-09-30 00:19-07:00,2025-09-30 07:19Z,2025-09-30 00:06-07:00,2025-09-30 07:06Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N648QX,2025-09-30T00:00:00,13.6,16.5,34.6,0.5,0.0,,100,53,13.3,19.1,42.1,0.0,0.0,18900.0,99,3,,-2.6000000000000014,0.0
AS 2152,Alaska,2025-09-30,Arrival,2025-09-30 12:58-07:00,2025-09-30 19:58Z,2025-09-30 12:42-07:00,2025-09-30 19:42Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N667QX,2025-09-30T13:00:00,18.3,4.7,21.2,0.1,0.0,,37,51,17.7,15.3,22.7,0.0,0.0,30100.0,7,0,,-10.600000000000001,0.0
AS 2438,Alaska,2025-09-30,Arrival,2025-09-30 19:00-07:00,2025-10-01 02:00Z,2025-09-30 18:59-07:00,2025-10-01 01:59Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N648QX,2025-09-30T19:00:00,14.6,13.9,24.1,0.0,0.0,,100,3,13.8,13.3,24.1,0.0,0.0,21600.0,59,2,,0.5999999999999996,0.0
AS 2067,Alaska,2025-10-01,Departure,2025-10-01 06:00-07:00,2025-10-01 13:00Z,2025-10-01 06:05-07:00,2025-10-01 13:05Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N646QX,2025-10-01T06:00:00,11.6,8.0,23.8,0.0,0.0,,100,3,10.9,4.7,7.9,0.0,0.0,7600.0,99,3,,3.3,0.0
AS 2132,Alaska,2025-10-01,Departure,2025-10-01 13:38-07:00,2025-10-01 20:38Z,2025-10-01 13:53-07:00,2025-10-01 20:53Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N625QX,2025-10-01T14:00:00,19.7,8.5,22.0,0.0,0.0,,96,3,18.9,12.4,16.6,0.0,0.0,39400.0,12,0,,-3.9000000000000004,0.0
AS 2439,Alaska,2025-10-01,Departure,2025-10-01 19:37-07:00,2025-10-02 02:37Z,2025-10-01 19:48-07:00,2025-10-02 02:48Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N634QX,2025-10-01T20:00:00,12.2,8.3,23.4,1.6,0.0,,100,61,12.0,17.5,34.9,0.1,0.0,13800.0,99,51,,-9.2,0.0
AS 2364,Alaska,2025-10-01,Arrival,2025-10-01 00:19-07:00,2025-10-01 07:19Z,2025-10-01 02:30-07:00,2025-10-01 09:30Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N646QX,2025-10-01T00:00:00,11.1,4.0,7.6,0.0,0.0,,100,3,12.3,7.9,20.5,0.0,0.0,26000.0,0,0,,-3.9000000000000004,0.0
AS 2152,Alaska,2025-10-01,Arrival,2025-10-01 12:58-07:00,2025-10-01 19:58Z,2025-10-01 12:47-07:00,2025-10-01 19:47Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N625QX,2025-10-01T13:00:00,18.9,7.4,31.3,0.0,0.0,,51,2,19.1,11.7,24.5,0.0,0.0,46200.0,83,3,,-4.299999999999999,0.0
AS 2438,Alaska,2025-10-01,Arrival,2025-10-01 19:00-07:00,2025-10-02 02:00Z,2025-10-01 18:54-07:00,2025-10-02 01:54Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N634QX,2025-10-01T19:00:00,11.8,13.8,31.3,4.2,0.0,,100,63,11.9,5.7,13.0,0.0,0.0,14900.0,99,3,,8.100000000000001,0.0
AS 2067,Alaska,2025-10-02,Departure,2025-10-02 06:00-07:00,2025-10-02 13:00Z,2025-10-02 06:26-07:00,2025-10-02 13:26Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N663QX,2025-10-02T06:00:00,10.2,5.9,13.3,0.0,0.0,,100,3,9.3,3.3,3.2,0.0,0.0,12200.0,13,0,,2.6000000000000005,0.0
AS 2132,Alaska,2025-10-02,Departure,2025-10-02 13:38-07:00,2025-10-02 20:38Z,2025-10-02 13:48-07:00,2025-10-02 20:48Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N650QX,2025-10-02T14:00:00,17.3,2.2,13.3,0.0,0.0,,100,3,15.4,10.1,10.8,0.0,0.0,23900.0,81,3,,-7.8999999999999995,0.0
AS 2439,Alaska,2025-10-02,Departure,2025-10-02 19:37-07:00,2025-10-03 02:37Z,2025-10-02 20:48-07:00,2025-10-03 03:48Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N626QX,2025-10-02T20:00:00,12.7,1.9,2.5,0.0,0.0,,100,3,10.9,3.0,2.9,0.0,0.0,15300.0,98,3,,-1.1,0.0
AS 2364,Alaska,2025-10-02,Arrival,2025-10-02 00:19-07:00,2025-10-02 07:19Z,2025-10-02 00:13-07:00,2025-10-02 07:13Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N663QX,2025-10-02T00:00:00,10.3,4.3,9.4,0.0,0.0,,96,3,9.6,3.7,4.0,0.0,0.0,12200.0,56,2,,0.5999999999999996,0.0
AS 2152,Alaska,2025-10-02,Arrival,2025-10-02 12:58-07:00,2025-10-02 19:58Z,2025-10-02 12:43-07:00,2025-10-02 19:43Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N650QX,2025-10-02T13:00:00,16.6,0.4,15.8,0.0,0.0,,96,3,14.5,9.1,10.4,0.0,0.0,18300.0,60,2,,-8.7,0.0
AS 2438,Alaska,2025-10-02,Arrival,2025-10-02 19:00-07:00,2025-10-03 02:00Z,2025-10-02 20:01-07:00,2025-10-03 03:01Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N626QX,2025-10-02T19:00:00,13.3,1.0,2.2,0.0,0.0,,100,3,11.6,3.3,4.7,0.0,0.0,16800.0,98,3,,-2.3,0.0
AS 2067,Alaska,2025-10-03,Departure,2025-10-03 06:00-07:00,2025-10-03 13:00Z,2025-10-03 06:09-07:00,2025-10-03 13:09Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N653QX,2025-10-03T06:00:00,9.3,2.7,4.3,0.0,0.0,,100,3,7.9,6.1,14.8,0.0,0.0,12200.0,99,3,,-3.3999999999999995,0.0
AS 2132,Alaska,2025-10-03,Departure,2025-10-03 13:38-07:00,2025-10-03 20:38Z,2025-10-03 14:38-07:00,2025-10-03 21:38Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N629QX,2025-10-03T14:00:00,16.5,18.2,38.2,0.0,0.0,,4,0,16.5,18.1,21.6,0.0,0.0,35600.0,17,0,,0.09999999999999787,0.0
AS 2032,Alaska,2025-10-03,Departure,2025-10-03 17:42-07:00,2025-10-04 00:42Z,2025-10-03 17:44-07:00,2025-10-04 00:44Z,Departed,False,KPUW,PUW,KBOI,BOI,Embraer 175,N650QX,2025-10-03T18:00:00,12.4,10.7,22.7,0.0,0.0,,16,0,12.8,9.0,19.1,0.0,0.0,35400.0,0,0,,1.6999999999999993,0.0
AS 2439,Alaska,2025-10-03,Departure,2025-10-03 19:37-07:00,2025-10-04 02:37Z,2025-10-03 19:59-07:00,2025-10-04 02:59Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N654QX,2025-10-03T20:00:00,10.3,6.4,15.1,0.0,0.0,,33,1,9.8,5.5,13.0,0.0,0.0,29500.0,43,1,,0.9000000000000004,0.0
AS 2364,Alaska,2025-10-03,Arrival,2025-10-03 00:19-07:00,2025-10-03 07:19Z,2025-10-03 00:01-07:00,2025-10-03 07:01Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N653QX,2025-10-03T00:00:00,10.8,2.4,2.9,0.0,0.0,,100,3,9.3,6.6,7.9,0.0,0.0,13800.0,98,3,,-4.199999999999999,0.0
AS 2152,Alaska,2025-10-03,Arrival,2025-10-03 12:58-07:00,2025-10-03 19:58Z,2025-10-03 13:50-07:00,2025-10-03 20:50Z,Arrived,False,KSEA,SEA,KPUW,PUW,Embraer 175,N629QX,2025-10-03T13:00:00,16.4,16.9,37.1,0.0,0.0,,0,0,15.9,18.5,22.7,0.0,0.0,31200.0,1,0,,-1.6000000000000014,0.0
AS 2036,Alaska,2025-10-03,Arrival,2025-10-03 16:34-07:00,2025-10-03 23:34Z,2025-10-03 17:00-07:00,2025-10-04 00:00Z,Arrived,False,KBOI,BOI,KPUW,PUW,Embraer 175,N650QX,2025-10-03T17:00:00,14.1,12.6,29.5,0.0,0.0,,27,1,14.6,11.2,19.8,0.0,0.0,39800.0,0,0,,1.4000000000000004,0.0
AS 2438,Alaska,2025-10-03,Arrival,2025-10-03 19:00-07:00,2025-10-04 02:00Z,2025-10-03 18:50-07:00,2025-10-04 01:50Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N654QX,2025-10-03T19:00:00,11.7,8.9,18.7,0.0,0.0,,5,0,11.5,6.4,14.8,0.0,0.0,32800.0,0,0,,2.5,0.0
AS 2364,Alaska,2025-10-03,Arrival,2025-10-04 00:19-07:00,2025-10-04 07:19Z,2025-10-03 23:58-07:00,2025-10-04 06:58Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N633QX,2025-10-04T00:00:00,10.0,6.5,10.4,0.0,0.0,,100,3,8.0,9.4,12.6,0.0,0.0,22400.0,81,3,,-2.9000000000000004,0.0
AS 2067,Alaska,2025-10-04,Departure,2025-10-04 05:05-07:00,2025-10-04 12:05Z,2025-10-04 05:32-07:00,2025-10-04 12:32Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N633QX,2025-10-04T05:00:00,9.8,11.7,21.2,0.0,0.0,,77,2,7.1,7.6,16.9,0.0,0.0,17100.0,5,0,,4.1,0.0
AS 2152,Alaska,2025-10-04,Departure,2025-10-04 13:06-07:00,2025-10-04 20:06Z,2025-10-04 13:24-07:00,2025-10-04 20:24Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N643QX,2025-10-04T13:00:00,15.5,19.9,41.8,0.0,0.0,,14,0,15.6,22.8,30.2,0.0,0.0,35100.0,31,1,,-2.900000000000002,0.0
AS 2152,Alaska,2025-10-04,Arrival,2025-10-04 12:29-07:00,2025-10-04 19:29Z,2025-10-04 12:29-07:00,2025-10-04 19:29Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N628QX,2025-10-04T12:00:00,15.1,18.7,40.0,0.0,0.0,,13,0,14.6,20.4,27.0,0.0,0.0,33100.0,27,1,,-1.6999999999999993,0.0
AS 2364,Alaska,2025-10-04,Arrival,2025-10-04 23:54-07:00,2025-10-05 06:54Z,2025-10-04 23:54-07:00,2025-10-05 06:54Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N668QX,2025-10-05T00:00:00,8.7,6.6,16.6,0.0,0.0,,52,2,8.4,10.8,19.4,0.0,0.0,22000.0,36,1,,-4.200000000000001,0.0
AS 2067,Alaska,2025-10-05,Departure,2025-10-05 05:05-07:00,2025-10-05 12:05Z,2025-10-05 05:01-07:00,2025-10-05 12:01Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N663QX,2025-10-05T05:00:00,4.2,4.1,6.1,0.0,0.0,,20,1,5.2,4.0,4.3,0.0,0.0,22200.0,0,0,,0.09999999999999964,0.0
AS 2152,Alaska,2025-10-05,Departure,2025-10-05 13:06-07:00,2025-10-05 20:06Z,2025-10-05 14:02-07:00,2025-10-05 21:02Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N644QX,2025-10-05T13:00:00,15.3,7.7,23.4,0.0,0.0,,20,1,15.0,4.7,5.4,0.0,0.0,38200.0,18,0,,3.0,0.0
AS 2032,Alaska,2025-10-05,Departure,2025-10-05 17:49-07:00,2025-10-06 00:49Z,2025-10-05 17:54-07:00,2025-10-06 00:54Z,Departed,False,KPUW,PUW,KBOI,BOI,Embraer 175,N639QX,2025-10-05T18:00:00,11.5,10.0,20.2,0.0,0.0,,8,0,10.6,5.8,9.0,0.0,0.0,40600.0,0,0,,4.2,0.0
AS 2438,Alaska,2025-10-05,Departure,2025-10-05 19:43-07:00,2025-10-06 02:43Z,2025-10-05 21:48-07:00,2025-10-06 04:48Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N649QX,2025-10-05T20:00:00,9.3,5.9,12.6,0.0,0.0,,0,0,7.4,1.8,3.6,0.0,0.0,32100.0,0,0,,4.1000000000000005,0.0
AS 2152,Alaska,2025-10-05,Arrival,2025-10-05 12:29-07:00,2025-10-05 19:29Z,2025-10-05 12:15-07:00,2025-10-05 19:15Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N644QX,2025-10-05T12:00:00,14.3,8.1,23.8,0.0,0.0,,43,1,14.9,3.4,3.6,0.0,0.0,39900.0,32,1,,4.699999999999999,0.0
AS 2036,Alaska,2025-10-05,Arrival,2025-10-05 17:12-07:00,2025-10-06 00:12Z,2025-10-05 17:15-07:00,2025-10-06 00:15Z,Expected,False,KBOI,BOI,KPUW,PUW,Embraer 175,N639QX,2025-10-05T17:00:00,13.4,10.6,19.1,0.0,0.0,,21,1,12.9,6.0,9.4,0.0,0.0,46200.0,0,0,,4.6,0.0
AS 2438,Alaska,2025-10-05,Arrival,2025-10-05 19:00-07:00,2025-10-06 02:00Z,2025-10-05 19:49-07:00,2025-10-06 02:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N649QX,2025-10-05T19:00:00,10.7,7.6,17.3,0.0,0.0,,0,0,9.0,4.9,6.5,0.0,0.0,37500.0,0,0,,2.6999999999999993,0.0
AS 2067,Alaska,2025-10-06,Departure,2025-10-06 05:05-07:00,2025-10-06 12:05Z,2025-10-06 05:22-07:00,2025-10-06 12:22Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N626QX,2025-10-06T05:00:00,4.8,6.8,12.2,0.0,0.0,,0,0,2.3,10.2,11.5,0.0,0.0,20100.0,0,0,,-3.3999999999999995,0.0
AS 2152,Alaska,2025-10-06,Departure,2025-10-06 13:06-07:00,2025-10-06 20:06Z,2025-10-06 13:08-07:00,2025-10-06 20:08Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N651QX,2025-10-06T13:00:00,16.4,3.3,17.3,0.0,0.0,,0,0,16.4,4.0,5.4,0.0,0.0,49400.0,1,0,,-0.7000000000000002,0.0
AS 2032,Alaska,2025-10-06,Departure,2025-10-06 17:49-07:00,2025-10-07 00:49Z,2025-10-06 17:46-07:00,2025-10-07 00:46Z,Departed,False,KPUW,PUW,KBOI,BOI,Embraer 175,N624QX,2025-10-06T18:00:00,12.0,2.8,6.5,0.0,0.0,,0,0,11.6,5.4,5.4,0.0,0.0,49600.0,0,0,,-2.6000000000000005,0.0
AS 2438,Alaska,2025-10-06,Departure,2025-10-06 19:43-07:00,2025-10-07 02:43Z,2025-10-06 20:18-07:00,2025-10-07 03:18Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N669QX,2025-10-06T20:00:00,9.1,7.4,13.0,0.0,0.0,,0,0,7.9,4.6,5.0,0.0,0.0,36100.0,0,0,,2.8000000000000007,0.0
AS 2364,Alaska,2025-10-06,Arrival,2025-10-06 00:20-07:00,2025-10-06 07:20Z,2025-10-06 00:13-07:00,2025-10-06 07:13Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N626QX,2025-10-06T00:00:00,6.0,4.6,9.0,0.0,0.0,,0,0,3.9,6.9,6.8,0.0,0.0,27800.0,0,0,,-2.3000000000000007,0.0
AS 2152,Alaska,2025-10-06,Arrival,2025-10-06 12:29-07:00,2025-10-06 19:29Z,2025-10-06 12:15-07:00,2025-10-06 19:15Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N651QX,2025-10-06T12:00:00,15.9,3.9,17.6,0.0,0.0,,7,0,15.7,2.9,4.3,0.0,0.0,43200.0,0,0,,1.0,0.0
AS 2036,Alaska,2025-10-06,Arrival,2025-10-06 17:12-07:00,2025-10-07 00:12Z,2025-10-06 16:58-07:00,2025-10-06 23:58Z,Expected,False,KBOI,BOI,KPUW,PUW,Embraer 175,N624QX,2025-10-06T17:00:00,13.4,4.4,10.8,0.0,0.0,,0,0,14.6,3.2,3.6,0.0,0.0,57000.0,0,0,,1.2000000000000002,0.0
AS 2438,Alaska,2025-10-06,Arrival,2025-10-06 19:00-07:00,2025-10-07 02:00Z,2025-10-06 18:51-07:00,2025-10-07 01:51Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N669QX,2025-10-06T19:00:00,10.2,3.8,5.8,0.0,0.0,,0,0,9.3,7.6,8.3,0.0,0.0,39100.0,0,0,,-3.8,0.0
AS 2067,Alaska,2025-10-07,Departure,2025-10-07 05:05-07:00,2025-10-07 12:05Z,2025-10-07 05:06-07:00,2025-10-07 12:06Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N626QX,2025-10-07T05:00:00,8.0,17.2,30.6,0.0,0.0,,0,0,4.9,14.9,25.9,0.0,0.0,21800.0,0,0,,2.299999999999999,0.0
AS 2152,Alaska,2025-10-07,Departure,2025-10-07 13:06-07:00,2025-10-07 20:06Z,2025-10-07 13:13-07:00,2025-10-07 20:13Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N626QX,2025-10-07T13:00:00,20.2,12.0,29.5,0.0,0.0,,0,0,19.8,12.7,14.8,0.0,0.0,59100.0,0,0,,-0.6999999999999993,0.0
AS 2032,Alaska,2025-10-07,Departure,2025-10-07 17:49-07:00,2025-10-08 00:49Z,2025-10-07 17:46-07:00,2025-10-08 00:46Z,Departed,False,KPUW,PUW,KBOI,BOI,Embraer 175,N636QX,2025-10-07T18:00:00,14.1,7.6,12.6,0.0,0.0,,0,0,15.2,11.0,18.0,0.0,0.0,52800.0,0,0,,-3.4000000000000004,0.0
AS 2438,Alaska,2025-10-07,Departure,2025-10-07 19:43-07:00,2025-10-08 02:43Z,2025-10-07 19:50-07:00,2025-10-08 02:50Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N635QX,2025-10-07T20:00:00,13.3,12.5,21.2,0.0,0.0,,0,0,11.6,12.2,21.2,0.0,0.0,40800.0,0,0,,0.3000000000000007,0.0
AS 2152,Alaska,2025-10-07,Arrival,2025-10-07 12:29-07:00,2025-10-07 19:29Z,2025-10-07 12:07-07:00,2025-10-07 19:07Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N626QX,2025-10-07T12:00:00,19.4,12.7,32.0,0.0,0.0,,0,0,18.5,14.4,17.3,0.0,0.0,52900.0,0,0,,-1.700000000000001,0.0
AS 2036,Alaska,2025-10-07,Arrival,2025-10-07 17:12-07:00,2025-10-08 00:12Z,2025-10-07 16:55-07:00,2025-10-07 23:55Z,Expected,False,KBOI,BOI,KPUW,PUW,Embraer 175,N636QX,2025-10-07T17:00:00,16.1,5.1,12.2,0.0,0.0,,0,0,18.0,11.1,16.9,0.0,0.0,60000.0,0,0,,-6.0,0.0
AS 2438,Alaska,2025-10-07,Arrival,2025-10-07 19:00-07:00,2025-10-08 02:00Z,2025-10-07 19:02-07:00,2025-10-08 02:02Z,Arrived,False,KSEA,SEA,KPUW,PUW,Embraer 175,N635QX,2025-10-07T19:00:00,13.5,11.4,19.8,0.0,0.0,,0,0,12.7,12.6,20.2,0.0,0.0,45100.0,0,0,,-1.1999999999999993,0.0
AS 2067,Alaska,2025-10-08,Departure,2025-10-08 05:05-07:00,2025-10-08 12:05Z,2025-10-08 05:10-07:00,2025-10-08 12:10Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N633QX,2025-10-08T05:00:00,10.8,17.8,31.3,0.0,0.0,,0,0,7.7,14.4,23.0,0.0,0.0,32300.0,0,0,,3.4000000000000004,0.0
AS 2152,Alaska,2025-10-08,Departure,2025-10-08 13:06-07:00,2025-10-08 20:06Z,2025-10-08 13:30-07:00,2025-10-08 20:30Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N661QX,2025-10-08T13:00:00,22.7,10.0,29.2,0.0,0.0,,0,0,23.1,14.2,25.9,0.0,0.0,68300.0,0,0,,-4.199999999999999,0.0
AS 2032,Alaska,2025-10-08,Departure,2025-10-08 17:49-07:00,2025-10-09 00:49Z,2025-10-08 17:52-07:00,2025-10-09 00:52Z,Departed,False,KPUW,PUW,KBOI,BOI,Embraer 175,N627QX,2025-10-08T18:00:00,17.9,13.2,23.0,0.0,0.0,,3,0,17.2,11.0,16.6,0.0,0.0,57100.0,0,0,,2.1999999999999993,0.0
AS 2438,Alaska,2025-10-08,Departure,2025-10-08 19:43-07:00,2025-10-09 02:43Z,2025-10-08 19:58-07:00,2025-10-09 02:58Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N648QX,2025-10-08T20:00:00,16.7,14.0,24.8,0.0,0.0,,0,0,14.9,13.7,23.8,0.0,0.0,50900.0,0,0,,0.3000000000000007,0.0
AS 2152,Alaska,2025-10-08,Arrival,2025-10-08 12:29-07:00,2025-10-08 19:29Z,2025-10-08 12:23-07:00,2025-10-08 19:23Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N661QX,2025-10-08T12:00:00,22.1,12.5,33.5,0.0,0.0,,0,0,22.3,15.8,25.9,0.0,0.0,66700.0,0,0,,-3.3000000000000007,0.0
AS 2036,Alaska,2025-10-08,Arrival,2025-10-08 17:12-07:00,2025-10-09 00:12Z,2025-10-08 16:57-07:00,2025-10-08 23:57Z,Expected,False,KBOI,BOI,KPUW,PUW,Embraer 175,N627QX,2025-10-08T17:00:00,19.9,10.9,19.1,0.0,0.0,,9,0,20.2,9.8,15.5,0.0,0.0,64000.0,0,0,,1.0999999999999996,0.0
AS 2438,Alaska,2025-10-08,Arrival,2025-10-08 19:00-07:00,2025-10-09 02:00Z,2025-10-08 18:44-07:00,2025-10-09 01:44Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N648QX,2025-10-08T19:00:00,16.9,13.5,23.8,0.0,0.0,,0,0,15.6,14.3,22.7,0.0,0.0,53400.0,0,0,,-0.8000000000000007,0.0
